train_condition,test_family,test_param,acc_mean,acc_std,n_runs
Duffing_transition,Duffing,-1.5,70.89,7.99,10
Duffing_transition,Duffing,-1.0,77.2,6.89,10
Duffing_transition,Duffing,-0.3,91.18,1.78,10
Duffing_transition,Duffing,0.0,93.91,1.95,10
Duffing_transition,Duffing,0.3,94.5,2.08,10
Duffing_transition,Duffing,1.0,94.65,1.72,10
Duffing_transition,Duffing,1.5,94.72,1.31,10
Duffing_transition,Duffing,2.0,94.5,1.51,10
Duffing_transition,Duffing,2.5,94.46,1.63,10
Duffing_transition,Duffing,5.0,94.76,1.63,10
Duffing_transition,Duffing,7.0,94.43,1.89,10
Duffing_transition,Duffing,10.0,94.1,2.14,10
Duffing_transition,ExpDecay,0.5,91.85,2.23,10
Duffing_transition,ExpDecay,1.0,84.98,3.5,10
Duffing_transition,ExpDecay,2.0,63.87,9.63,10
Duffing_transition,ExpDecay,5.0,31.96,10.32,10
Duffing_transition,ExpDecay,10.0,22.92,6.66,10
Duffing_transition,Lorenz,0.5,77.23,5.26,10
Duffing_transition,Lorenz,1.0,73.32,3.02,10
Duffing_transition,Lorenz,1.5,61.88,3.67,10
Duffing_transition,Lorenz,10.0,8.34,3.29,10
Duffing_transition,Lorenz,28.0,8.34,2.36,10
Lorenz_dissipative,Duffing,-1.5,65.94,6.41,10
Lorenz_dissipative,Duffing,-1.0,71.22,7.02,10
Lorenz_dissipative,Duffing,-0.3,85.35,2.94,10
Lorenz_dissipative,Duffing,0.0,90.18,2.2,10
Lorenz_dissipative,Duffing,0.3,88.45,2.11,10
Lorenz_dissipative,Duffing,1.0,83.14,2.13,10
Lorenz_dissipative,Duffing,1.5,82.1,2.68,10
Lorenz_dissipative,Duffing,2.0,84.02,2.53,10
Lorenz_dissipative,Duffing,2.5,84.39,2.96,10
Lorenz_dissipative,Duffing,5.0,89.41,2.0,10
Lorenz_dissipative,Duffing,7.0,91.22,1.6,10
Lorenz_dissipative,Duffing,10.0,92.29,1.79,10
Lorenz_dissipative,ExpDecay,0.5,93.87,1.38,10
Lorenz_dissipative,ExpDecay,1.0,92.1,1.84,10
Lorenz_dissipative,ExpDecay,2.0,82.55,5.23,10
Lorenz_dissipative,ExpDecay,5.0,48.45,9.93,10
Lorenz_dissipative,ExpDecay,10.0,30.26,9.34,10
Lorenz_dissipative,Lorenz,0.5,93.14,1.58,10
Lorenz_dissipative,Lorenz,1.0,94.06,1.69,10
Lorenz_dissipative,Lorenz,1.5,94.24,1.51,10
Lorenz_dissipative,Lorenz,10.0,46.94,12.67,10
Lorenz_dissipative,Lorenz,28.0,20.07,10.85,10
ExpDecay,Duffing,-1.5,71.07,8.46,10
ExpDecay,Duffing,-1.0,74.58,8.57,10
ExpDecay,Duffing,-0.3,84.61,6.28,10
ExpDecay,Duffing,0.0,89.3,3.82,10
ExpDecay,Duffing,0.3,90.48,1.68,10
ExpDecay,Duffing,1.0,90.33,1.14,10
ExpDecay,Duffing,1.5,90.59,2.23,10
ExpDecay,Duffing,2.0,91.07,1.53,10
ExpDecay,Duffing,2.5,91.99,1.87,10
ExpDecay,Duffing,5.0,92.73,2.05,10
ExpDecay,Duffing,7.0,92.77,1.39,10
ExpDecay,Duffing,10.0,92.55,1.85,10
ExpDecay,ExpDecay,0.5,92.8,1.88,10
ExpDecay,ExpDecay,1.0,93.14,1.8,10
ExpDecay,ExpDecay,2.0,92.73,2.06,10
ExpDecay,ExpDecay,5.0,87.93,2.21,10
ExpDecay,ExpDecay,10.0,79.56,3.17,10
ExpDecay,Lorenz,0.5,92.55,1.82,10
ExpDecay,Lorenz,1.0,92.21,1.27,10
ExpDecay,Lorenz,1.5,91.55,2.0,10
ExpDecay,Lorenz,10.0,50.85,9.75,10
ExpDecay,Lorenz,28.0,21.22,10.89,10
Gaussian,Duffing,-1.5,64.39,4.55,10
Gaussian,Duffing,-1.0,67.45,4.93,10
Gaussian,Duffing,-0.3,86.09,2.76,10
Gaussian,Duffing,0.0,80.41,4.4,10
Gaussian,Duffing,0.3,65.87,9.01,10
Gaussian,Duffing,1.0,51.37,11.58,10
Gaussian,Duffing,1.5,49.93,12.22,10
Gaussian,Duffing,2.0,48.89,11.26,10
Gaussian,Duffing,2.5,51.77,12.53,10
Gaussian,Duffing,5.0,66.68,9.08,10
Gaussian,Duffing,7.0,73.95,6.58,10
Gaussian,Duffing,10.0,79.45,5.33,10
Gaussian,ExpDecay,0.5,85.83,4.73,10
Gaussian,ExpDecay,1.0,64.87,11.28,10
Gaussian,ExpDecay,2.0,37.12,10.99,10
Gaussian,ExpDecay,5.0,20.89,7.32,10
Gaussian,ExpDecay,10.0,16.46,5.15,10
Gaussian,Lorenz,0.5,69.7,9.17,10
Gaussian,Lorenz,1.0,82.47,5.61,10
Gaussian,Lorenz,1.5,88.93,3.27,10
Gaussian,Lorenz,10.0,54.61,8.01,10
Gaussian,Lorenz,28.0,14.5,4.95,10
