model,train_delta,n_runs,id_mean,id_std,ood_mean,ood_std
SNN,-1.5,10,92.92,2.5,38.65,4.09
SNN,0.0,10,94.72,1.78,90.02,2.0
SNN,2.0,10,94.83,2.14,90.56,2.48
SNN,10.0,10,94.39,2.03,88.73,1.56
LeakyMLP,-1.5,10,82.47,3.83,42.69,3.23
LeakyMLP,0.0,10,83.06,2.33,65.42,2.97
LeakyMLP,2.0,10,83.28,2.87,62.96,2.58
LeakyMLP,10.0,10,82.69,2.08,57.86,3.39
EMA_MLP,-1.5,10,93.06,1.97,48.3,2.91
EMA_MLP,0.0,10,95.68,1.57,68.83,1.02
EMA_MLP,2.0,10,95.68,1.72,94.87,1.73
EMA_MLP,10.0,10,95.02,1.4,94.01,1.41
AvgPool_MLP,-1.5,10,95.2,1.79,33.3,3.39
AvgPool_MLP,0.0,10,92.66,2.43,65.3,1.49
AvgPool_MLP,2.0,10,92.4,3.21,92.04,3.11
AvgPool_MLP,10.0,10,90.07,10.52,89.36,11.24
LastT_MLP,-1.5,10,91.0,1.72,25.2,1.63
LastT_MLP,0.0,10,94.1,3.18,65.42,1.92
LastT_MLP,2.0,10,40.85,27.82,14.85,7.96
LastT_MLP,10.0,10,88.38,10.05,50.38,6.18
