delta,beta,ood_mean,ood_std,id_mean,id_std
-1.5,0.3,22.56,0.95,89.96,2.08
-1.5,0.5,23.91,1.29,91.14,0.93
-1.5,0.7,28.28,2.76,92.25,1.76
-1.5,0.9,35.01,1.28,93.80,2.14
-1.5,0.95,36.57,6.04,93.36,1.97
0.0,0.3,9.18,1.22,9.15,1.22
0.0,0.5,74.26,4.38,90.70,1.92
0.0,0.7,82.55,3.86,93.06,2.85
0.0,0.9,89.83,1.08,93.95,1.31
0.0,0.95,90.58,1.55,95.13,1.54
2.0,0.3,9.15,1.22,9.15,1.22
2.0,0.5,9.27,1.13,9.15,1.22
2.0,0.7,78.83,14.06,82.36,15.59
2.0,0.9,88.01,1.87,92.62,1.92
2.0,0.95,90.87,1.88,95.20,1.12
5.0,0.3,9.15,1.22,9.15,1.22
5.0,0.5,9.15,1.22,9.15,1.22
5.0,0.7,84.66,2.55,91.66,2.04
5.0,0.9,88.30,2.54,95.06,0.95
5.0,0.95,89.74,1.60,94.83,0.77
10.0,0.3,9.15,1.22,9.15,1.22
10.0,0.5,9.15,1.22,9.15,1.22
10.0,0.7,68.99,28.06,74.61,33.09
10.0,0.9,87.78,2.49,93.95,2.15
10.0,0.95,88.90,1.87,94.98,1.92
