model,condition,seed,delta,sigma_rf,osi_mean,final_recon,final_sparsity
relu,Baseline,0,,0.0072142756544053,0.1349004275615556,0.000712932345363,0.0007939054505439
relu,Dynamic_Transition,0,2.0,0.0328126102685928,0.1075768543005813,0.0006641969338937,0.0004670026384609
relu,Dynamic_Expansive,0,-1.5,0.0210680235177278,0.0982637676206164,541.3217261592044,3.230046956599513
relu,Dynamic_Dissipative,0,10.0,0.012016643770039,0.1077237237743458,0.0008203418235754,0.0007349710224072
relu,Baseline,1,,0.0070994514971971,0.1158995898720232,0.0007653473817472,0.0008041813808988
relu,Dynamic_Transition,1,2.0,0.0320894084870815,0.1149025524656643,0.0006457778191948,0.0004681954502947
relu,Dynamic_Expansive,1,-1.5,0.02079489082098,0.0797495783445992,395.3092910187154,3.037817157899277
relu,Dynamic_Dissipative,1,10.0,0.0112507082521915,0.0999786700418162,0.0008049437104241,0.0007445191639575
relu,Baseline,2,,0.0069949948228895,0.1206348184294015,0.000746124588348,0.0008016167152555
relu,Dynamic_Transition,2,2.0,0.032892819494009,0.1129885440451365,0.0006972349280509,0.0004708871171335
relu,Dynamic_Expansive,2,-1.5,0.0209867134690284,0.0845321122404751,443.69142006016983,3.0728734071496167
relu,Dynamic_Dissipative,2,10.0,0.011464568786323,0.1087582629570977,0.0008291040194998,0.0007411646498278
snn,Dynamic_Transition,0,2.0,0.28849881887435913,0.33888311765227774,0.0028225777470329894,0.0009439589238573269
snn,Dynamic_Transition,1,2.0,0.28143230080604553,0.3662576875208368,0.002769415113556234,0.0009648190401243989
snn,Dynamic_Transition,2,2.0,0.2931062579154968,0.34308694574071613,0.0028523860139701564,0.0010173556368419114
